Life expectancy ,Adult Mortality,Alcohol, BMI ,Total expenditure, HIV/AIDS,GDP,Income composition of resources,Schooling
51.7,348,8.33,22.7,3.31,2,479.31224,0.527,11.4
51.1,355,8.1,22.1,4.26,2.3,484.616884,0.523,11.4
56,358,8.24,21.5,3.3,2.6,4598.249988,0.508,10.3
51,361,8.06,21,3.38,2.5,4299.12889,0.495,9.4
49.6,365,7.8,2.4,3.39,2.5,3529.53482,0.488,9
49.1,369,7.01,19.8,4.37,2.5,3347.84485,0.48,8.5
48.7,371,7.07,19.3,3.84,2.6,3868.578883,0.468,8.1
48.2,375,6.35,18.8,3.38,2.6,2878.837144,0.454,7.7
47.7,381,5.84,18.2,4.54,2.5,262.415149,0.439,7.2
47.4,382,5.04,17.7,4.1,2.6,1443.991929,0.426,6.8
47.1,386,3.53,17.2,4.71,2.5,141.86844,0.415,6.4
46.8,388,3.49,16.8,4.41,2.4,779.468356,0.406,5.9
46.5,391,2.82,16.3,3.63,2.3,711.181716,0.401,5.5
45.7,44,2.58,15.8,5.38,2.1,526.168743,0.391,5.1
45.3,48,1.85,15.4,2.79,2,555.2969419,0.382,4.6
76.4,13,,47.7,,0.2,13566.9541,0.784,13.9
76.2,131,8.56,47,5.54,0.2,12888.29667,0.782,13.9
76.1,133,8.58,46.4,5.33,0.2,12224.86416,0.781,13.9
75.9,134,8.18,45.7,5.39,0.2,12565.44197,0.778,13.8
75.7,136,7.84,45.1,5.65,0.1,11929.34991,0.782,14.1
75.6,138,7.84,44.4,5.63,0.1,12126.87614,0.783,14.1
75.4,14,7.82,43.8,4.86,0.1,1312.46692,0.788,14.2
75.2,142,8.27,43.2,4.69,0.1,1473.31923,0.786,14.4
75,144,8.64,42.6,4.27,0.1,14252.29452,0.781,14.5
74.8,145,8.93,42,4.34,0.1,12724.39377,0.773,14.7
74.6,147,8.15,41.4,4.41,0.1,11371.93895,0,0
74.4,149,7.28,4.8,4.21,0.1,1352.8374,0,0
74.2,151,7.16,4.1,4.53,0.1,9739.82556,0,0
74,153,7.21,39.5,4.41,0.1,9386.716452,0,0
73.8,154,7.51,38.9,4.48,0.1,9358.154162,0,0
73.6,156,7.27,38.2,4.13,0.1,9875.161736,0,0
76.3,116,,62.8,,0.1,13467.1236,0.826,17.3
76.2,118,7.93,62.2,4.79,0.1,12245.25645,0.825,17.3
76,119,8.28,61.6,4.99,0.1,12976.63642,0.823,17.3
75.9,12,8.35,61,5.2,0.1,12969.7712,0.822,17.2
75.7,12,8.11,6.4,5.89,0.1,12726.9836,0.816,17.1
75.5,121,8.15,59.8,6.55,0.1,1276.265,0.802,16.8
75.6,126,8.33,59.2,7.63,0.1,8161.36966,0.794,16.5
75.4,126,8.41,58.6,6.66,0.1,8953.359275,0.792,16.3
74.8,129,8.16,58,6.49,0.1,7193.61764,0.788,16.3
75.2,127,7.75,57.5,6.68,0.1,5878.76127,0.782,16.1
74.9,127,7.53,56.9,6.85,0.1,576.883829,0.78,16.3
74.7,13,7.63,56.3,6.84,0.1,4251.574348,0.775,16.3
74.1,137,7.62,55.7,8.22,0.1,333.4376,0.77,16.4
74.1,138,7.81,55.1,8.31,0.1,2579.193168,0.776,16.3
74,138,7.76,54.6,9.38,0.1,717.694674,0.771,15.6
74.1,137,7.68,54,9.21,0.1,7669.273916,0.764,15
74.8,118,,54.9,,0.1,369.654776,0.741,12.7
74.6,12,3.91,54.1,4.48,0.1,3994.712355,0.739,12.7
74.4,123,3.79,53.3,4.55,0.1,3843.591213,0.736,12.7
74.4,121,3.89,52.6,4.48,0.1,3684.8481,0.732,12.7
73.9,128,4.09,51.9,3.71,0.1,3526.978143,0.729,12.7
73.5,132,4.23,51.2,4.56,0.1,3218.381655,0.72,12.3
73.3,137,3.96,5.7,4.55,0.1,2993.832531,0.725,11.9
73.2,14,3.96,5.1,3.8,0.1,41.26997,0.721,12.3
73.5,132,3.99,49.7,4.31,0.1,3138.8873,0.707,11.7
72.9,141,4.01,49.2,4.58,0.1,2158.299,0.692,11.2
73,137,4.25,48.8,5.25,0.1,1643.758397,0.679,10.9
73,132,3.81,48.4,5.5,0.1,1191.96192,0.668,10.9
72.7,134,3.03,48.1,5.56,0.1,93.1661567,0.657,10.8
72.6,134,2.86,47.8,5.4,0.1,783.261699,0.645,10.8
72.6,141,2.86,47.4,5.94,0.1,694.435119,0.644,11.1
72,142,2.9,47.1,6.25,0.1,622.7427477,0.639,11.2
82.8,59,,66.6,,0.1,56554.3876,0.937,20.4
82.7,6,9.71,66.1,9.42,0.1,62214.6912,0.936,20.4
82.5,61,9.87,65.5,9.36,0.1,67792.3386,0.933,20.3
82.3,61,10.03,65,9.36,0.1,67677.63477,0.93,20.1
82,63,10.3,64.4,9.2,0.1,62245.129,0.927,19.8
81.9,64,10.52,63.9,9.2,0.1,51874.848,0.927,19.5
81.7,66,10.62,63.4,9.5,0.1,42742.99898,0.925,19.1
81.3,66,10.76,62.9,8.78,0.1,49664.6854,0.921,19.1
81.3,66,10.56,62.5,8.53,0.1,4991.98289,0.918,19
81.2,66,10.31,62,8.49,0.1,36118.28381,0.915,20.3
81,67,10.3,61.5,8.45,0.1,3416.71483,0.91,20.3
86,69,9.84,6.9,8.57,0.1,3472.37977,0.908,20.7
83,71,9.97,6.3,8.32,0.1,23465.38559,0.905,20.6
79.9,73,9.84,59.6,8.39,0.1,281.81763,0.902,20.1
79.9,75,9.53,59,8.18,0.1,19517.84168,0.899,20.5
79.5,78,10.17,58.2,8.8,0.1,2169.921,0.897,20.4
81.5,65,,57.6,,0.1,43665.947,0.892,15.9
81.4,66,12.32,57.1,11.21,0.1,51322.63997,0.892,15.9
81.1,68,11.82,56.6,11.14,0.1,554.71532,0.887,15.7
88,7,12.26,56.1,11.17,0.1,48333.57273,0.884,15.7
88,73,12.04,55.7,1.94,0.1,51126.74139,0.88,15.7
84,75,12.1,55.2,11.17,0.1,46657.629,0.872,15.4
82,77,11.3,54.7,11.19,0.1,47654.18721,0.87,15.3
84,76,12,54.2,1.6,0.1,51386.37665,0.864,15.1
81,8,12.5,53.7,1.4,0.1,46586.6525,0.86,15.2
79.8,81,12.4,53.2,1.35,0.1,443.99361,0.854,15
79.4,85,12.4,52.7,1.53,0.1,38242.4252,0.848,14.9
79.3,86,12.1,52.2,1.56,0.1,36693.4262,0.841,14.7
78.8,88,12.2,51.7,1.48,0.1,3212.9355,0.837,14.7
78.7,9,12.5,51.2,1.27,0.1,26351.37568,0.847,16.1
78.6,92,12.4,5.6,1.12,0.1,24489.73553,0.837,15.5
78.1,96,13.2,5.1,1.6,0.1,24517.26745,0.833,15.4
72.7,118,,52.5,,0.1,55.31382,0.758,12.7
72.5,119,0.01,51.5,6.4,0.1,7891.299776,0.752,12.2
72.2,121,2.14,5.6,5.54,0.1,7875.756953,0.745,11.9
71.9,123,0.01,49.7,5.37,0.1,7496.335728,0.742,11.8
71.6,125,1.98,48.8,5.1,0.1,7189.691229,0.741,11.7
71.1,13,1.98,48,5.33,0.1,5842.85784,0.737,11.7
78,132,2.1,47.3,5.85,0.1,495.294791,0.728,11.6
73,141,1.18,46.6,4.37,0.1,5574.6382,0.719,11.6
73,14,1.02,45.9,5.1,0.1,3851.437869,0.708,11.6
69.2,154,0.85,45.3,6.17,0.1,2473.85776,0.682,10.7
68.4,162,0.73,44.7,7.86,0.1,1578.4239,0.675,11.2
68.4,154,0.62,44.2,7.92,0.1,145.2163,0.668,11
67.8,154,0.55,43.6,6.56,0.1,883.6439965,0.659,10.8
67.8,146,0.55,43.1,4.47,0.1,763.73858,0.651,10.6
67.5,151,0.51,42.6,4.48,0.1,73.6838434,0.642,10.4
66.6,16,0.65,42.1,4.67,0.1,655.974326,0.636,10.1
76.1,147,,64.5,,0.1,,0.79,12.6
75.4,16,9.45,63.8,7.74,0.1,,0.789,12.6
74.8,172,9.42,63.2,7.5,0.1,,0.79,12.6
74.9,167,9.5,62.6,7.43,0.2,,0.789,12.6
75,162,9.34,62,7.63,0.1,,0.788,12.6
75,161,9.19,61.3,7.44,0.2,,0.788,12.6
74.6,168,9.29,6.7,7.43,0.1,,0.791,12.6
74.5,167,10.15,6.1,7.3,0.1,,0.791,12.6
74.4,167,10.75,59.4,7.8,0.1,,0.79,12.5
74.2,171,11.07,58.7,6.93,0.1,,0.788,12.4
74.1,172,10.49,58.1,5.95,0.1,,0.786,12.4
73.8,174,10.1,57.4,6.2,0.1,,0.784,12.3
73.2,189,10.68,56.7,5.62,0.1,,0.783,12.2
73.1,19,10.85,56,5.26,0.1,,0.781,12.1
72.9,189,11.64,55.2,5.15,0.2,,0.779,12.1
72.6,192,12.15,54.4,5.21,0.1,,0,12
76.9,69,,63.6,,0.1,22688.87824,0.823,14.5
76.8,7,1.57,62.9,4.98,0.1,24983.3792,0.82,14.5
76.7,7,1.65,62.2,4.69,0.1,251.18329,0.815,14.5
76.5,71,1.7,61.5,4.37,0.1,23649.36661,0.812,14.5
76.1,76,1.66,6.8,3.4,0.1,2281.1242,0.812,14.4
76.1,73,1.93,6.1,3.64,0.1,2722.1389,0.81,14.4
76,74,1.95,59.3,3.79,0.1,19356.67236,0.814,14.4
75.8,76,2,58.5,3.17,0.1,2367.56535,0.815,14.4
75.6,77,2,57.6,3.8,0.1,2977.1153,0.813,14.4
75.5,79,2.1,56.8,3.8,0.1,1937.99549,0.81,14.2
75.3,81,2.05,56.1,3.16,0.1,17959.17854,0.806,14
75.2,83,2.16,55.6,3.37,0.1,15846.47641,0.803,13.9
75,85,2.16,55.2,3.74,0.1,14221.99259,0.798,13.7
74.9,87,1.99,55,3.89,0.1,1312.33457,0.796,13.5
74.7,9,1.95,54.8,3.8,0.1,12868.211,0.794,13.3
74.5,92,2.15,54.5,3.51,0.1,13636.34668,0.786,13.2
71.8,129,,18.3,,0.1,121.15812,0.575,10.2
71.4,132,0.01,17.7,2.82,0.1,184.56543,0.57,10
71,135,0.01,17,2.88,0.1,951.8894535,0.565,10
77,137,0.01,16.4,3.8,0.1,856.342857,0.557,9.9
73,14,0.01,15.8,3.16,0.1,835.789341,0.545,9.4
69.9,142,0.01,15.2,3.6,0.1,757.6717572,0.535,8.9
69.5,144,0.01,14.6,2.91,0.1,681.125368,0.523,8.4
69.1,147,0.01,14,2.85,0.1,615.7775411,0.52,8.6
68.6,151,0.01,13.5,2.8,0.1,541.651484,0.513,8.6
68.2,152,0.01,13,2.8,0.1,494.51466,0.506,8.4
67.8,155,0.01,12.5,2.68,0.1,484.155471,0.499,8.2
67.3,158,0.01,12,2.62,0.1,46.7579167,0.491,8.1
66.8,161,0.01,11.6,2.51,0.1,432.7388972,0.484,7.9
66.3,164,0.01,11.2,2.59,0.1,4.6135745,0.476,7.7
65.8,168,0.01,1.8,2.47,0.1,42.5981152,0.468,7.5
65.3,173,0.01,1.4,2.33,0.1,45.63371,0.459,7.3
75.5,98,,54.5,,0.1,15557.8381,0.794,15.3
75.4,1,8.82,53.7,7.47,0.1,15359.66971,0.793,15.3
75.2,11,8.74,53,7.57,0.1,15472.7814,0.792,15.3
75.1,12,8.61,52.2,7.43,0.1,15384.8749,0.785,15.3
74.9,14,8.51,51.4,6.67,0.1,15534.1574,0.78,15.5
74.7,16,8.41,5.7,6.17,0.1,1595.91232,0.781,15.8
74.6,19,8.46,49.9,6.21,0.1,16523.32388,0.779,15.5
74.4,111,8.95,49.2,6.1,0.1,1657.3228,0.775,15.3
74.2,113,8.47,48.4,5.64,0.1,16462.48556,0.771,15
74.1,115,8.39,47.7,5.27,0.1,15646.5591,0.766,14.8
73.9,117,8.01,46.9,5.38,0.1,14223.86576,0.761,14.6
73.8,119,7.68,46.2,5.71,0.2,12868.8639,0.757,14.4
73.7,121,7.65,45.4,5.82,0.4,1228.5447,0.753,14.2
73.5,123,7.59,44.6,5.76,0.8,11675.39395,0.749,14
73.4,125,7.38,43.8,5.47,0.7,11513.87189,0.75,14
73.3,127,7.43,43,5.16,0.9,11568.1111,0.741,14
72.3,196,,62.3,,0.1,5949.11677,0.798,15.6
72,199,13.94,61.7,5.69,0.1,8318.429294,0.796,15.7
71.7,23,14.66,61.1,6.7,0.1,7978.825443,0.796,15.7
71.9,194,16.35,6.5,5.1,0.1,694.243915,0.793,15.6
72,232,17.31,59.9,4.92,0.1,6519.71753,0.787,15.5
73,222,14.44,59.3,5.55,0.1,63.38877,0.78,15.5
70,226,14.09,58.7,6.9,0.1,5176.172649,0.771,15.4
70,224,14.67,58.2,5.95,0.1,6376.183153,0.755,15.1
69.8,226,14.22,57.7,6.44,0.1,4735.484827,0.739,14.9
68.9,243,12.6,57.2,6.34,0.1,3848.215966,0.723,14.6
68.1,252,11.01,56.7,6.89,0.1,3126.71767,0.713,14.4
68.2,247,12.05,56.2,6.59,0.1,2378.33927,0.703,14.1
67.7,253,11.17,55.8,6.59,0.1,1819.525644,0.695,13.9
67.2,262,12.23,55.3,6.47,0.1,1479.383142,0.687,13.6
67.7,254,10.74,54.9,6.62,0.1,1244.373185,0.681,13.3
68,247,12.98,54.4,6.13,0.1,1276.28834,0.675,13.1
81.1,74,,63.7,,0.1,4356.875,0.895,16.6
89,76,12.6,63.4,1.59,0.1,47439.39684,0.89,16.3
87,77,11.77,63,1.57,0.1,4651.38647,0.889,16.3
83,78,10.08,62.6,1.54,0.1,4474.5717,0.886,16.2
83,8,10.11,62.3,1.42,0.1,4772.77415,0.884,16.1
80,81,10.22,61.9,1.17,0.1,4438.23741,0.878,15.9
79.8,85,10.05,61.6,1.39,0.1,4488.5615,0.876,15.8
79.5,87,10.47,61.3,9.6,0.1,48424.58927,0.874,15.8
79.5,86,10.25,6.9,9.25,0.1,4443.83131,0.871,15.8
79.4,85,10.98,6.6,9.17,0.1,38852.3613,0.865,15.7
78.9,89,12.27,6.2,9.24,0.1,36967.28292,0.861,15.7
78.8,91,12.05,59.8,9.32,0.1,35589.71295,0.88,18.8
78.3,95,11.28,59.4,9.3,0.1,3743.95693,0.878,18.6
78,99,11.29,59,8.46,0.1,2552.3328,0.875,18.8
78,1,11.01,58.5,8.29,0.1,23121.56635,0.873,18.2
77.6,11,11.21,58.1,8.12,0.1,2327.4591,0.869,18
71,175,,5.9,,0.2,4849.997495,0.706,12.8
70,177,6.58,5.1,5.79,0.2,4852.223666,0.705,12.8
69.8,18,6.56,49.3,5.79,0.2,4688.538443,0.706,12.9
69.4,189,6.66,48.5,5.45,0.1,4673.63848,0.702,12.5
69.4,188,6.64,47.8,5.61,0.5,4516.24675,0.7,12.4
69.5,186,6.76,47,5.85,0.2,4344.15177,0.7,12.4
69.5,184,6.85,46.3,5.81,0.3,4258.788611,0.7,12.7
69.6,181,7.22,45.7,5.9,0.1,447.22796,0.699,12.8
69.6,181,7.24,45,4.76,0.6,4324.876427,0.7,12.8
69.4,184,6.48,44.4,4.4,0.6,4187.3783,0.692,12.3
69,191,6.25,43.8,4.45,0.8,3933.332215,0.695,12.8
68.7,197,6.2,43.2,4.39,0.8,3831.53819,0.691,12.5
68.4,21,5.67,42.6,4.53,1.5,3679.99523,0.684,12.2
68.5,199,4.99,42,4.38,0.1,3556.561825,0.678,11.9
68.2,21,4.9,41.4,4.5,0.4,3419.275719,0.677,11.8
68.3,196,4.79,4.8,3.98,0.3,3364.423711,0.668,11.7
60,249,,25.7,,1,783.94791,0.481,10.7
59.7,252,0.01,25.2,4.59,1.1,943.686575,0.475,10.7
59.5,251,0.01,24.6,4.59,1.2,915.2674586,0.466,10.3
59.3,251,0.01,24.1,4.86,1.3,837.9551,0.458,10
59.1,251,1.4,23.5,5.37,1.4,825.9427854,0.454,9.8
58.7,254,1.33,23,4.95,1.4,757.695974,0.451,9.5
58.4,259,1.16,22.5,4.46,1.6,793.45243,0.448,9.3
57.6,278,1.28,22,4.2,1.8,82.1513498,0.444,9.1
57.1,283,1.12,21.5,4.55,2,76.535419,0.438,8.9
56.8,284,1.19,21,4.75,2,625.8392,0.434,8.7
56.5,285,1.13,2.5,4.73,2.1,61.799977,0.43,8.5
56.1,285,1.15,2.1,4.56,2.1,583.493514,0.423,8.1
55.8,285,1.35,19.7,4.63,2.1,519.2922847,0.416,7.7
55.6,283,1.23,19.2,4.27,2.1,418.6985763,0.407,7.3
55.5,281,1.29,18.8,4.69,2.1,378.73654,0.395,6.6
55.4,279,1.34,18.4,4.34,2,374.1923942,0.389,6.4
69.8,211,,24.5,,0.5,2613.645177,0.604,12.5
69.4,216,0.01,23.6,3.57,0.5,2522.7968,0.596,12.5
69.1,219,0.01,22.7,3.83,0.6,235.882889,0.589,12.6
68.7,223,0.01,21.9,3.7,0.6,2422.816,0.581,12.3
68.3,225,0.23,21.1,4.73,0.5,2458.45976,0.572,11.9
67.9,228,0.28,2.3,5.17,0.5,2178.921383,0,11.4
67.4,232,0.17,19.5,6.3,0.4,177.234497,0,10.9
67,234,0.21,18.8,6.58,0.4,1795.18137,0,10.5
66.5,238,0.16,18,5.88,0.3,1741.142552,0,10.1
65.8,245,0.29,17.4,5.27,0.3,1335.45696,0,9.6
65,254,0.73,16.7,5.28,0.3,1247.61392,0,9.2
64.2,263,0.96,16.1,4.41,0.3,197.45788,0,8.8
63.3,273,0.52,15.5,4.9,0.2,997.7417141,0,8.4
62.5,282,0.29,14.9,7.75,0.1,885.6382245,0,8
61.7,29,0.14,14.4,5.91,0.1,87.9387673,0,7.6
62,312,0.17,13.9,6.91,0.1,765.8632358,0,7.3
77,186,,52.6,,0.1,,0.671,13.8
74,189,3.62,51.9,6.33,0.1,,0.666,13.8
71,192,3.78,51.2,5.96,0.1,,0.661,13.8
69.8,194,3.89,5.6,5.56,0.1,,0.655,13.8
69.3,198,3.93,49.9,5.49,0.2,,0.649,13.8
68.7,22,3.95,49.3,5.44,0.2,,0.643,13.8
68,27,3.87,48.6,5.76,0.2,,0.636,13.8
67.4,211,3.77,48,5,0.2,,0.632,14
66.8,216,3.47,47.3,4.96,0.2,,0.626,14.1
66.2,219,3.23,46.7,5.19,0.2,,0.625,14.3
65.7,222,2.86,46,5.67,0.2,,0.622,14.4
65.1,226,2.66,45.4,5.22,0.2,,0.62,14.6
64.5,23,2.37,44.7,5.3,0.2,,0.617,14.4
63.9,234,2.26,44,6.53,0.1,,0.61,14
63.3,238,2.2,43.3,6.31,0.1,,0.607,13.7
62.6,243,2.32,42.6,5.67,0.1,,0.6,13.3
77.4,88,,55.8,,0.1,4574.9787,0.747,14.2
77.2,89,4.03,55.3,9.57,0.1,5193.94932,0.742,14.2
77,9,4.12,54.7,9.46,0.1,535.86555,0.735,14.2
76.8,92,4.61,54.2,9.94,0.1,4716.673325,0.728,13.9
76.9,92,4.64,53.7,9.71,0.1,55.156834,0.711,13.4
76.4,94,4.54,53.1,9.58,0.1,4611.47298,0.717,13.3
76.1,97,4.75,52.6,9.64,0.1,4697.89732,0.716,13.3
76,98,5.13,52.1,8.58,0.1,575.31664,0.71,13.1
75.4,16,5.16,51.5,8.37,0.1,418.292176,0.703,12.9
75.7,1,4.82,51,8.28,0.1,344.321698,0.697,12.7
75,12,4.56,5.5,8.5,0.1,2968.41186,0,12.5
75.5,99,4.25,49.9,9.4,0.1,265.642661,0,12.3
75.2,12,4.14,49.4,7.94,0.1,2214.732246,0,12.1
75.4,11,3.84,48.8,7.1,0.1,1761.537647,0,11.9
74.9,113,3.85,48.2,7.16,0.1,1524.41222,0,11.6
74.6,116,3.64,47.6,7.9,0.1,1461.7552,0,0
65.7,256,,37.9,,2.2,6532.651,0.698,12.6
65.1,268,0.01,37.3,5.41,2.3,7497.762376,0.697,12.6
64.2,286,0.01,36.8,5.84,2.8,77.625783,0.693,12.6
63.4,3,0.01,36.2,6.27,4.4,729.231453,0.687,12.5
62.2,325,5.76,35.7,5.25,5.5,7645.21469,0.678,12.4
61.1,349,5.99,35.2,5.64,6.2,6346.15624,0.669,12.3
59.2,393,5.01,34.7,6.39,9,5185.729845,0.661,12.2
57.5,427,6.56,34.2,5.55,12.7,5623.379566,0.646,12.1
56.9,436,6.21,33.7,4.71,13.4,5714.47937,0.63,12.1
54.8,491,6.45,33.2,4.93,14.4,5374.554867,0.61,11.9
51.7,566,6.37,32.7,5.62,20.6,5351.253732,0.593,11.9
48.1,652,4.9,32.2,5.56,28.4,4896.583835,0.58,11.8
46.4,693,5.51,31.6,4.65,31.9,4163.6596,0.567,11.8
46,699,6.41,31.1,6.47,34.6,355.618382,0.558,11.9
46.7,679,5.48,3.5,5.73,37.2,3128.97793,0.56,11.8
47.8,647,5.37,29.9,4.64,38.8,3349.68823,0.559,11.7
75,142,,56.1,,0.1,8757.2622,0.754,15.2
74.8,144,7.32,55.3,8.32,0.1,1226.61731,0.747,15.2
74.7,146,7.24,54.5,8.48,0.1,12216.9446,0.734,14.2
74.5,148,7.55,53.6,8.26,0.1,12291.46685,0.73,14.2
74.1,152,7.58,52.8,8.9,0.1,13167.47289,0.724,14
73.8,154,7.52,52,8.27,0.1,11224.1548,0.716,13.8
73.6,157,7.33,51.1,8.65,0.1,8553.3847,0.714,13.8
73.4,158,7.21,5.3,8.24,0.1,8787.61375,0.704,13.3
73.3,159,7.19,49.4,8.28,0.1,7313.557962,0.7,13.5
73,161,7.1,48.6,8.36,0.1,586.145975,0.698,13.8
72.7,163,6.97,47.8,8.27,0.1,477.182746,0.694,13.8
72,17,6.85,46.9,7.7,0.1,3623.47667,0.695,14
71.8,172,6.95,46.1,6.94,0.1,359.587582,0.699,14.8
71.4,176,7,45.3,7.13,0.1,2819.649531,0.692,14.6
71,179,7.13,44.5,7.19,0.1,3146.95177,0.685,14.3
75,183,7.26,43.7,7.3,0.1,3739.11936,0.677,14.1
77.7,78,,41.2,,0.1,3967.8951,0.864,14.9
77.6,8,0.01,4.2,2.65,0.1,4159.8652,0.863,15
77.1,84,0.01,39.2,2.61,0.1,44597.27968,0.86,14.9
78.3,79,0.01,38.2,2.3,0.1,47651.2599,0.852,14.4
77.4,79,0.97,37.2,2.25,0.1,4717.273,0.846,14.1
76.9,79,0.88,36.2,2.73,0.1,35268.1117,0.845,14.2
76.8,88,0.25,35.2,2.85,0.1,27965.4754,0.841,14.1
77.2,84,0.67,34.2,2.23,0.1,37951.286,0.84,14.2
76,1,0.85,33.2,2.32,0.1,32672.36717,0.84,14.3
76.3,93,0.67,32.2,2.24,0.1,398.96692,0.837,14.3
76.2,92,0.16,31.2,2.62,0.1,2612.13345,0.834,14.1
76.4,89,0.11,3.1,3.1,0.1,21896.6527,0.828,13.7
76,89,0.12,29.1,3.9,0.1,18555.56649,0.823,13.4
74.8,95,0.13,28,3.4,0.1,16846.2198,0.82,13.3
74.7,19,0.47,27,3.6,0.1,16468.12886,0.819,13.4
74.4,16,0.37,26.1,3.5,0.1,188.44826,0.818,13.4
74.5,137,,65.7,,0.1,6993.47736,0.792,15
74.3,138,12.03,65.1,8.44,0.1,7853.335191,0.787,14.8
74.1,14,12.06,64.5,7.93,0.1,7674.86559,0.781,14.4
73.9,139,10.99,63.9,7.11,0.1,7378.25539,0.778,14.3
73.7,144,10.67,63.3,6.88,0.1,7813.83499,0.775,14.2
73.4,147,10.8,62.7,7.24,0.1,6843.263289,0.77,13.9
73.2,152,10.93,62.1,6.78,0.1,6955.987733,0.768,13.8
72.9,155,10.98,61.5,6.61,0.1,7296.122479,0.761,13.8
72.6,157,10.89,6.9,6.41,0.1,5932.899677,0.755,13.5
72.2,161,10.39,6.3,6.67,0.1,4513.13628,0.75,13.5
72.1,16,10.48,59.7,7.8,0.1,3893.68998,0.745,13.5
72.2,157,10.96,59.1,7.9,0.1,3381.57837,0.738,13.3
72,155,11.19,58.6,7.43,0.1,271.46824,0.729,12.9
71.8,157,10.2,58.1,7.41,0.1,287.534843,0.723,12.9
71.6,16,10.72,57.5,7.23,0.1,1764.97387,0.713,12.9
71.1,163,9.69,57,6.7,0.1,169.28586,0.709,12.9
59.9,26,,19.4,,0.6,615.592225,0.399,7.7
59.3,268,0.01,18.8,4.96,0.6,75.1464113,0.398,7.7
59,27,4.64,18.2,5.91,0.7,699.452847,0.392,7.5
58.6,271,4.75,17.7,5.33,0.8,673.8227,0.384,7.2
58.1,275,4.51,17.1,5.17,0.9,666.842783,0.377,6.7
57.5,279,4.55,16.6,7.17,1,575.4464527,0.365,6.3
56.9,283,4.55,16.1,7.41,1.1,552.7455521,0.356,5.9
